Nasdaq Traded,Symbol,Company Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Symbol_Clean,Sector,source,confidence
Y,RES,"RPC, Inc. Common Stock",N, ,N,100.0,N,,RES,RES,N,RES,Energy,Nasdaq,100.0
Y,RESI,Front Yard Residential Corporation Common Stock,N, ,N,100.0,N,,RESI,RESI,N,RESI,Real Estate,Wikipedia-High,36.0
Y,RESN,Resonant Inc. - Common Stock,Q,S,N,100.0,N,N,,RESN,N,RESN,Utilities,Wikipedia-High,60.0
Y,RETA,"Reata Pharmaceuticals, Inc. - Class A Common Stock",Q,G,N,100.0,N,N,,RETA,N,RETA,Healthcare,Name-Match,180.0
Y,RETO,"ReTo Eco-Solutions, Inc. - Common Shares",Q,S,N,100.0,N,D,,RETO,N,RETO,Industrials,Nasdaq,100.0
Y,REV,"Revlon, Inc. New Common Stock",N, ,N,100.0,N,,REV,REV,N,REV,Financial,Wikipedia-High,305.5
Y,REVG,"REV Group, Inc. Common Stock",N, ,N,100.0,N,,REVG,REVG,N,REVG,Industrials,Nasdaq,100.0
Y,REX,REX American Resources Corporation,N, ,N,100.0,N,,REX,REX,N,REX,Industrials,Nasdaq,100.0
Y,REXN,"Rexahn Pharmaceuticals, Inc. - Common Stock",Q,S,N,100.0,N,N,,REXN,N,REXN,Healthcare,Name-Match,180.0
Y,REXR,"Rexford Industrial Realty, Inc. Common Stock",N, ,N,100.0,N,,REXR,REXR,N,REXR,Real Estate,Nasdaq,100.0
Y,REYN,Reynolds Consumer Products Inc. - Common Stock,Q,Q,N,100.0,N,N,,REYN,N,REYN,Consumer Discretionary,Nasdaq,100.0
Y,REZI,"Resideo Technologies, Inc. Common Stock ",N, ,N,100.0,N,,REZI,REZI,N,REZI,Industrials,Nasdaq,100.0
Y,RF,Regions Financial Corporation Common Stock,N, ,N,100.0,N,,RF,RF,N,RF,Finance,Nasdaq,100.0
Y,RFI,"Cohen & Steers Total Return Realty Fund, Inc. Common Stock",N, ,N,100.0,N,,RFI,RFI,N,RFI,Finance,Nasdaq,100.0
Y,RFIL,"RF Industries, Ltd. - Common Stock",Q,G,N,100.0,N,N,,RFIL,N,RFIL,Technology,Nasdaq,100.0
Y,RFL,"Rafael Holdings, Inc. Class B Common Stock",N, ,N,100.0,N,,RFL,RFL,N,RFL,Finance,Nasdaq,100.0
Y,RFM,"RiverNorth Flexible Municipal Income Fund, Inc. Common Stock",N, ,N,100.0,N,,RFM,RFM,N,RFM,Finance,Nasdaq,100.0
Y,RFP,Resolute Forest Products Inc. Common Stock,N, ,N,100.0,N,,RFP,RFP,N,RFP,Materials,Wikipedia-High,56.0
Y,RGA,"Reinsurance Group of America, Incorporated Common Stock",N, ,N,100.0,N,,RGA,RGA,N,RGA,Finance,Nasdaq,100.0
Y,RGCO,RGC Resources Inc. - Common Stock,Q,G,N,100.0,N,N,,RGCO,N,RGCO,Utilities,Nasdaq,100.0
Y,RGEN,Repligen Corporation - Common Stock,Q,Q,N,100.0,N,N,,RGEN,N,RGEN,Health Care,Nasdaq,100.0
Y,RGLD,"Royal Gold, Inc. - Common Stock",Q,Q,N,100.0,N,N,,RGLD,N,RGLD,Industrials,Nasdaq,100.0
Y,RGLS,Regulus Therapeutics Inc. - Common Stock,Q,S,N,100.0,N,D,,RGLS,N,RGLS,Healthcare,Name-Match,180.0
Y,RGNX,REGENXBIO Inc. - Common Stock,Q,Q,N,100.0,N,N,,RGNX,N,RGNX,Health Care,Nasdaq,100.0
Y,RGR,"Sturm, Ruger & Company, Inc. Common Stock",N, ,N,100.0,N,,RGR,RGR,N,RGR,Industrials,Nasdaq,100.0
Y,RGS,Regis Corporation Common Stock,N, ,N,100.0,N,,RGS,RGS,N,RGS,Consumer Discretionary,Nasdaq,100.0
Y,RGT,"Royce Global Value Trust, Inc. Common Stock",N, ,N,100.0,N,,RGT,RGT,N,RGT,Finance,Nasdaq,100.0
Y,RH,RH Common Stock,N, ,N,100.0,N,,RH,RH,N,RH,Consumer Discretionary,Nasdaq,100.0
Y,RHE,"Regional Health Properties, Inc. Common Stock",A, ,N,100.0,N,,RHE,RHE,N,RHE,Healthcare,Name-Match,24.0
Y,RHI,Robert Half International Inc. Common Stock,N, ,N,100.0,N,,RHI,RHI,N,RHI,Consumer Discretionary,Nasdaq,100.0
Y,RIBT,RiceBran Technologies - Common Stock,Q,S,N,100.0,N,N,,RIBT,N,RIBT,Energy,Wikipedia-High,55.0
Y,RICK,"RCI Hospitality Holdings, Inc. - Common Stock",Q,G,N,100.0,N,N,,RICK,N,RICK,Consumer Discretionary,Nasdaq,100.0
Y,RIF,RMR Real Estate Income Fund (MD) Common Stock,A, ,N,100.0,N,,RIF,RIF,N,RIF,Real Estate,Name-Match,60.0
Y,RIG,Transocean Ltd (Switzerland) Common Stock,N, ,N,100.0,N,,RIG,RIG,N,RIG,Energy,Nasdaq,100.0
Y,RIGL,"Rigel Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100.0,N,N,,RIGL,N,RIGL,Health Care,Nasdaq,100.0
Y,RILY,"B. Riley Financial, Inc. - Common Stock",Q,G,N,100.0,N,N,,RILY,N,RILY,Finance,Nasdaq,100.0
Y,RIO,Rio Tinto Plc Common Stock,N, ,N,100.0,N,,RIO,RIO,N,RIO,Basic Materials,Nasdaq,100.0
Y,RIOT,"Riot Blockchain, Inc - Common Stock",Q,S,N,100.0,N,N,,RIOT,N,RIOT,Finance,Nasdaq,100.0
Y,RIV,"RiverNorth Opportunities Fund, Inc. Common Stock",N, ,N,100.0,N,,RIV,RIV,N,RIV,Finance,Nasdaq,100.0
Y,RIVE,Riverview Financial Corporation - Common Stock,Q,G,N,100.0,N,N,,RIVE,N,RIVE,Financial,Name-Match,24.0
Y,RJF,"Raymond James Financial, Inc. Common Stock",N, ,N,100.0,N,,RJF,RJF,N,RJF,Finance,Nasdaq,100.0
Y,RJN,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Energy Total Return Structured Product,P, ,N,100.0,N,,RJN,RJN,N,RJN,Energy,Name-Match,60.0
Y,RJZ,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Metals Total Return Structured Product,P, ,N,100.0,N,,RJZ,RJZ,N,RJZ,Materials,Name-Match,84.0
Y,RKDA,"Arcadia Biosciences, Inc. - Common Stock",Q,S,N,100.0,N,N,,RKDA,N,RKDA,Consumer Staples,Nasdaq,100.0
Y,RL,Ralph Lauren Corporation Common Stock,N, ,N,100.0,N,,RL,RL,N,RL,Industrials,Nasdaq,100.0
Y,RLGT,"Radiant Logistics, Inc. Common Stock",A, ,N,100.0,N,,RLGT,RLGT,N,RLGT,Industrials,Nasdaq,100.0
Y,RLGY,Realogy Holdings Corp. Common Stock,N, ,N,100.0,N,,RLGY,RLGY,N,RLGY,Financial,Wikipedia-High,55.0
Y,RLH,Red Lions Hotels Corporation Common Stock,N, ,N,100.0,N,,RLH,RLH,N,RLH,Consumer Discretionary,Name-Match,60.0
Y,RLI,RLI Corp. Common Stock (DE),N, ,N,100.0,N,,RLI,RLI,N,RLI,Finance,Nasdaq,100.0
Y,RLMD,"Relmada Therapeutics, Inc. - Common Stock",Q,S,N,100.0,N,N,,RLMD,N,RLMD,Health Care,Nasdaq,100.0
Y,RM,Regional Management Corp. Common Stock,N, ,N,100.0,N,,RM,RM,N,RM,Finance,Nasdaq,100.0
Y,RMAX,"RE/MAX Holdings, Inc. Class A Common Stock",N, ,N,100.0,N,,RMAX,RMAX,N,RMAX,Finance,Nasdaq,100.0
